らち	ɾ a̠ t͡ɕ i
ぽつねん	p o̞ t͡s ɨᵝ n ẽ̞ ɴ
タイムトラベル	t a̠ i m ɯ̟ᵝ t o̞ ɾ a̠ b e̞ ɾ ɯ̟ᵝ
こうかおん	k o̞ː k a̠ õ̞ ɴ
しんけいしつ	ɕ ĩ ŋ k e̞ː ɕ i t͡s ɨᵝ
はいすい	h a̠ i s ɨᵝ i
いらつめ	i ɾ a̠ t͡s ɨᵝ m e̞
ひとつ	ç i t o̞ t͡s ɨᵝ
ていしょう	t e̞ː ɕ o̞ː
にゅうりん	ɲ̟ ɯ̟ᵝː ɾʲ ĩ ɴ
ニュ	ɲ̟ ɯ̟ᵝ
もちあげる	m o̞ t͡ɕ i a̠ ɡ e̞ ɾ ɯ̟ᵝ
きぬいと	kʲ i n ɯ̟ᵝ i t o̞
じょう	d͡ʑ o̞ː
とうちょうき	t o̞ː t͡ɕ o̞ː kʲ i
ここ	k o̞ k o̞
タックスヘイブン	t a̠ k̚ k ɯ̟ᵝ s ɨᵝ h e̞ː b ɯ̟̃ᵝ ɴ
ことみ	k o̞ t o̞ mʲ i
すずなり	s ɨᵝ z ɨᵝ n a̠ ɾʲ i
よあけ	j o̞ a̠ k e̞
にじます	ɲ̟ i ʑ i m a̠ s ɨᵝ
デスボ	d e̞ s ɨᵝ b o̞
ほうりこむ	h o̞ː ɾʲ i k o̞ m ɯ̟ᵝ
けいべつ	k e̞ː b e̞ t͡s ɨᵝ
ルテチウム	ɾ ɯ̟ᵝ t e̞ t͡ɕ i ɯ̟ᵝ m ɯ̟ᵝ
れんらくいん	ɾ ẽ̞ n ɾ a̠ k ɯ̟ᵝ ĩ ɴ
ゆるめる	j ɯ̟ᵝ ɾ ɯ̟ᵝ m e̞ ɾ ɯ̟ᵝ
おぼつかず	o̞ b o̞ t͡s ɨᵝ k a̠ z ɨᵝ
クヮ	k ɰᵝ a̠
めずらしい	m e̞ z ɨᵝ ɾ a̠ ɕ iː
グレイシア	ɡ ɯ̟ᵝ ɾ e̞ː ɕ i a̠
スリーディープリンター	s ɨᵝ ɾʲ iː dʲ iː p ɯ̟ᵝ ɾʲ ĩ n t a̠ː
がいやしゅ	ɡ a̠ i j a̠ ɕ ɨᵝ
はいこうじょう	h a̠ i k o̞ː ʑ o̞ː
しつどくしょう	ɕ i t͡s ɨᵝ d o̞ k ɯ̟ᵝ ɕ o̞ː
もくせい	m o̞ k ɯ̟̊ᵝ s e̞ː
けとばす	k e̞ t o̞ b a̠ s ɨᵝ
しゃもじ	ɕ a̠ m o̞ ʑ i
ふかまる	ɸ ɯ̟ᵝ k a̠ m a̠ ɾ ɯ̟ᵝ
あらゆる	a̠ ɾ a̠ j ɯ̟ᵝ ɾ ɯ̟ᵝ
ちゅうさ	t͡ɕ ɨᵝː s a̠
しゅうはすう	ɕ ɨᵝː h a̠ s ɨᵝː
いたずら	i t a̠ z ɨᵝ ɾ a̠
ながさきけん	n a̠ ɡ a̠ s a̠ kʲ i k ẽ̞ ɴ
もん	m õ̞ ɴ
ブリーフィング	b ɯ̟ᵝ ɾʲ iː ɸʲ ĩ ŋ ɡ ɯ̟ᵝ
サマリウム	s a̠ m a̠ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
すいやく	s ɨᵝ i j a̠ k ɯ̟ᵝ
ぶつりがくしゃ	b ɯ̟ᵝ t͡s ɨᵝ ɾʲ i ɡ a̠ k ɯ̟̊ᵝ ɕ a̠
あなたたち	a̠ n a̠ t a̠ t a̠ t͡ɕ i
よみじ	j o̞ mʲ i ʑ i
とくべつきゅうこう	t o̞ k ɯ̟ᵝ b e̞ t͡s ɨᵝ kʲ ɨᵝː k o̞ː
ホ	h o̞
ドキュメント	d o̞ kʲ ɨᵝ m ẽ̞ n t o̞
へんさい	h ẽ̞ ɰ̃ s a̠ i
せいきか	s e̞ː kʲ i k a̠
のうか	n o̞ː k a̠
やさしい	j a̠ s a̠ ɕ i i
シップ	ɕ i p̚ p ɯ̟ᵝ
コルサージュ	k o̞ ɾ ɯ̟ᵝ s a̠ː ʑ ɨᵝ
りゅうかすいそ	ɾʲ ɨᵝː k a̠ s ɨᵝ i s o̞
しつがいこつ	ɕ i t͡s ɨᵝ ɡ a̠ i k o̞ t͡s ɨᵝ
ごうけい	ɡ o̞ː k e̞ː
びっくり	bʲ i k̚ k ɯ̟ᵝ ɾʲ i
レクイエム	ɾ e̞ k ɯ̟ᵝ i e̞ m ɯ̟ᵝ
あまぎ	a̠ m a̠ ɡʲ i
はいふ	h a̠ i ɸ ɯ̟ᵝ
ロー	ɾ o̞ː
ちくぜん	t͡ɕ i k ɯ̟ᵝ z ẽ̞ ɴ
しゅたい	ɕ ɨᵝ t a̠ i
つくえ	t͡s ɨᵝ k ɯ̟ᵝ e̞
はしり	h a̠ ɕ i ɾʲ i
よこぐみ	j o̞ k o̞ ɡ ɯ̟ᵝ mʲ i
みゃくうつ	mʲ a̠ k ɯ̟ᵝː t͡s ɨᵝ
きこうがく	kʲ i̥ k o̞ː ɡ a̠ k ɯ̟ᵝ
なみだあめ	n a̠ mʲ i d a̠ a̠ m e̞
ユウロピウム	j ɯ̟ᵝː ɾ o̞ pʲ i ɯ̟ᵝ m ɯ̟ᵝ
そつぎょうしき	s o̞ t͡s ɨᵝ ɡʲ o̞ː ɕ i kʲ i
かげろう	k a̠ ɡ e̞ ɾ o̞ː
きょうかんかく	kʲ o̞ː k ã̠ ŋ k a̠ k ɯ̟ᵝ
たいほじょう	t a̠ i h o̞ ʑ o̞ː
れいじょう	ɾ e̞ː ʑ o̞ː
きゃくしつ	kʲ a̠ k ɯ̟ᵝ ɕ i̥ t͡s ɨᵝ
かおう	k a̠ o̞ː
じゅごん	d͡ʑ ɨᵝ ɡ õ̞ ɴ
じんずう	d͡ʑ i ɴ d͡z u͍ː
おき	o̞ kʲ i
まきぞえをくう	m a̠ kʲ i z o̞ e̞ o̞ k ɯ̟ᵝː
アキンボ	a̠ kʲ ĩ m b o̞
たつ	t a̠ t͡s ɨᵝ
アロエ	a̠ ɾ o̞ e̞
ばんそうこう	b ã̠ ɰ̃ s o̞ː k o̞ː
おとこがすたる	o̞ t o̞ k o̞ ɡ a̠ s ɨᵝ t a̠ ɾ ɯ̟ᵝ
ちょうきょり	t͡ɕ o̞ː kʲ o̞ ɾʲ i
ちゅうしょうが	t͡ɕ ɨᵝː ɕ o̞ː ɡ a̠
あらかん	a̠ ɾ a̠ k ã̠ ɴ
イリオモテヤマネコ	i ɾʲ i o̞ m o̞ t e̞ j a̠ m a̠ n e̞ k o̞
こんちくしょう	k õ̞ ɲ̟ t͡ɕ i k ɯ̟ᵝ ɕ o̞ː
ほもめん	h o̞ m o̞ m ẽ̞ ɴ
だんわ	d ã̠ ɰ̃ ɰᵝ a̠
きんせつ	kʲ ĩ ɰ̃ s e̞ t͡s ɨᵝ
もっかい	m o̞ k̚ k a̠ i
パトリック	p a̠ t o̞ ɾʲ i k̚ k ɯ̟̊ᵝ
ちゅ	t͡ɕ ɨᵝ
けんきゅうしつ	k ẽ̞ ŋʲ kʲ ɨᵝː ɕ i̥ t͡s ɨᵝ
おにあそび	o̞ ɲ̟ i a̠ s o̞ bʲ i
はしゅ	h a̠ ɕ ɨᵝ
てんかざい	t ẽ̞ ŋ k a̠ z a̠ i
へをひる	h e̞ o̞ ç i ɾ ɯ̟ᵝ
くじら	k ɯ̟ᵝ ʑ i ɾ a̠
しんがた	ɕ ĩ ŋ ɡ a̠ t a̠
うぉ	ɰᵝ o̞
ふんかこう	ɸ ɯ̟̃ᵝ ŋ k a̠ k o̞ː
しんげんち	ɕ ĩ ŋ ɡ ẽ̞ ɲ̟ t͡ɕ i
なつやすみ	n a̠ t͡s ɨᵝ j a̠ s ɨᵝ mʲ i
かいへい	k a̠ i h e̞ː
エルサレム	e̞ ɾ ɯ̟ᵝ s a̠ ɾ e̞ m ɯ̟ᵝ
ごしきひわ	ɡ o̞ ɕ i kʲ i ç i ɰᵝ a̠
ふたり	ɸ ɯ̟ᵝ t a̠ ɾʲ i
こんせつ	k õ̞ ɰ̃ s e̞ t͡s ɨᵝ
しらせ	ɕ i ɾ a̠ s e̞
らくせん	ɾ a̠ k ɯ̟ᵝ s ẽ̞ ɴ
せいきまつ	s e̞ː kʲ i m a̠ t͡s ɨᵝ
けびょう	k e̞ bʲ o̞ː
ヨーグルト	j o̞ː ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ t o̞
カスタードプディング	k a̠ s ɨ̥ᵝ t a̠ː d o̞ p ɯ̟ᵝ dʲ ĩ ŋ ɡ ɯ̟ᵝ
ビューグル	bʲ ɨᵝː ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
ひかえしつ	ç i k a̠ e̞ ɕ i t͡s ɨᵝ
へんぼう	h ẽ̞ m b o̞ː
ダート	d a̠ː t o̞
しゅくぶん	ɕ ɨᵝ k ɯ̟ᵝ b ɯ̟̃ᵝ ɴ
しっけいせんばん	ɕ i k̚ k e̞ː s ẽ̞ m b ã̠ ɴ
ちすじ	t͡ɕ i s ɨᵝ ʑ i
おおきい	o̞ː kʲ iː
きけんすいいき	kʲ i k ẽ̞ ɰ̃ s ɨᵝ i i kʲ i
しげん	ɕ i ɡ ẽ̞ ɴ
インタビュアー	ĩ n t a̠ bʲ ɨᵝ a̠ː
はんけつぶん	h ã̠ ŋ k e̞ t͡s ɨᵝ b ɯ̟̃ᵝ ɴ
デート	d e̞ː t o̞
せいろんり	s e̞ː ɾ õ̞ n ɾʲ i
きょうじゃくあくせんと	kʲ o̞ː ʑ a̠ k ɯ̟ᵝ a̠ k ɯ̟ᵝ s ẽ̞ n t o̞
リストカット	ɾʲ i s ɨᵝ t o̞ k a̠ t̚ t o̞
けいこうひょうじかん	k e̞ː k o̞ː ç o̞ː ʑ i k ã̠ ɴ
よみくだし	j o̞ mʲ i k ɯ̟ᵝ d a̠ ɕ i
サスティン	s a̠ s ɨᵝ tʲ ĩ ɴ
おい	o̞ i
せんべつ	s ẽ̞ m b e̞ t͡s ɨᵝ
かじき	k a̠ ʑ i kʲ i
のうど	n o̞ː d o̞
せかいてき	s e̞ k a̠ i t e̞ kʲ i
スクラッチチケット	s ɨᵝ k ɯ̟ᵝ ɾ a̠ t̚ t͡ɕ i t͡ɕ i k e̞ t̚ t o̞
つうがくかばん	t͡s ɨᵝː ɡ a̠ k ɯ̟ᵝ k a̠ b ã̠ ɴ
ラクサ	ɾ a̠ k ɯ̟̊ᵝ s a̠
とっとと	t o̞ t̚ t o̞ t o̞
みずきり	mʲ i z ɨᵝ kʲ i ɾʲ i
フリップフロップ	ɸ ɯ̟ᵝ ɾʲ i p̚ p ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ o̞ p̚ p ɯ̟ᵝ
バドミントン	b a̠ d o̞ mʲ ĩ n t õ̞ ɴ
フェイク	ɸ e̞ː k ɯ̟ᵝ
こうせっこう	k o̞ː s e̞ k̚ k o̞ː
えんどん	ẽ̞ n d õ̞ ɴ
なにこれ	n a̠ ɲ̟ i k o̞ ɾ e̞
ばいきゃく	b a̠ i kʲ a̠ k ɯ̟ᵝ
いぬがみ	i n ɯ̟ᵝ ɡ a̠ mʲ i
カンタータ	k ã̠ n t a̠ː t a̠
じなん	d͡ʑ i n ã̠ ɴ
はっこう	h a̠ k̚ k o̞ː
アーティチョーク	a̠ː tʲ i̥ t͡ɕ o̞ː k ɯ̟ᵝ
かんかく	k ã̠ ŋ k a̠ k ɯ̟ᵝ
なんこつ	n ã̠ ŋ k o̞ t͡s ɨᵝ
ぼご	b o̞ ɡ o̞
ヌガー	n ɯ̟ᵝ ɡ a̠ː
こうちゃくご	k o̞ː t͡ɕ a̠ k ɯ̟ᵝ ɡ o̞
ブリティッシュコロンビア	b ɯ̟ᵝ ɾʲ i tʲ i ɕː ɯ̟ᵝ ̥ k o̞ ɾ õ̞ m bʲ i a̠
したさきさんずん	ɕ i t a̠ s a̠ kʲ i s ã̠ n d͡z ɨ̃ᵝ ɴ
しゅみ	ɕ ɨᵝ mʲ i
てんねんとう	t ẽ̞ nː ẽ̞ n t o̞ː
せっこつ	s e̞ k̚ k o̞ t͡s ɨᵝ
かいぎしつ	k a̠ i ɡʲ i ɕ i t͡s ɨᵝ
ボリューミー	b o̞ ɾʲ ɨᵝː mʲ iː
さいか	s a̠ i k a̠
ごうきん	ɡ o̞ː kʲ ĩ ɴ
イクメン	i k ɯ̟ᵝ m ẽ̞ ɴ
しろきくらげ	ɕ i ɾ o̞ kʲ i k ɯ̟ᵝ ɾ a̠ ɡ e̞
ほちょうき	h o̞ t͡ɕ o̞ː kʲ i
エンドルフィン	ẽ̞ n d o̞ ɾ ɯ̟ᵝ ɸʲ ĩ ɴ
バージョン	b a̠ː ʑ õ̞ ɴ
みがわり	mʲ i ɡ a̠ ɰᵝ a̠ ɾʲ i
おうちょう	o̞ː t͡ɕ o̞ː
ふくえん	ɸ ɯ̟ᵝ k ɯ̟ᵝ ẽ̞ ɴ
むじんえき	m ɯ̟ᵝ ʑ ĩ ɰ̃ e̞ kʲ i
ばれん	b a̠ ɾ ẽ̞ ɴ
らくご	ɾ a̠ k ɯ̟ᵝ ɡ o̞
しずまる	ɕ i z ɨᵝ m a̠ ɾ ɯ̟ᵝ
ピチカート	pʲ i t͡ɕ i k a̠ː t o̞
カップル	k a̠ p̚ p ɯ̟ᵝ ɾ ɯ̟ᵝ
はまる	h a̠ m a̠ ɾ ɯ̟ᵝ
あじみ	a̠ ʑ i mʲ i
かずお	k a̠ z ɨᵝ o̞
ちゅうだん	t͡ɕʲ u͍ː d a̠ ɴ
ボイス	b o̞ i s ɨᵝ
あかれんが	a̠ k a̠ ɾ ẽ̞ ŋ ɡ a̠
とうばつ	t o̞ː b a̠ t͡s ɨᵝ
せっさく	s e̞ sː a̠ k ɯ̟ᵝ
こうていてき	k o̞ː t e̞ː t e̞ kʲ i
ちょうげんじつしゅぎ	t͡ɕ o̞ː ɡ ẽ̞ ɲ̟ d͡ʑ i t͡s ɨᵝ ̥ ɕ ɨᵝ ɡʲ i
しんあん	ɕ ĩ ɰ̃ ã̠ ɴ
へんせい	h ẽ̞ ɰ̃ s e̞ː
ぐうぞう	ɡ ɯ̟ᵝː z o̞ː
きょうげき	kʲ o̞ː ɡ e̞ kʲ i
かしこまりました	k a̠ ɕ i̥ k o̞ m a̠ ɾʲ i m a̠ ɕ i t a̠
しけん	ɕ i k ẽ̞ ɴ
けいじか	k e̞ː ʑ i k a̠
ワルツ	ɰᵝ a̠ ɾ ɯ̟ᵝ t͡s ɨᵝ
どうりょう	d o̞ː ɾʲ o̞ː
オーバー	o̞ː b a̠ː
こめかみ	k o̞ m e̞ k a̠ mʲ i
もや	m o̞ j a̠
ありゅうさん	a̠ ɾʲ ɨᵝː s ã̠ ɴ
マンホール	m ã̠ ɰ̃ h o̞ː ɾ ɯ̟ᵝ
もえぶた	m o̞ e̞ b ɯ̟ᵝ t a̠
めいおうせい	m e̞ː o̞ː s e̞ː
でんちゅう	d ẽ̞ ɲ̟ t͡ɕ ɨᵝː
べらべら	b e̞ ɾ a̠ b e̞ ɾ a̠
きゅうかん	kʲ ɨᵝː k ã̠ ɴ
ひか	ç i k a̠
いくた	i k ɯ̟ᵝ t a̠
ごきょう	ɡ o̞ kʲ o̞ː
もんしろちょう	m õ̞ ɰ̃ ɕ i ɾ o̞ t͡ɕ o̞ː
オオミチバシリ	o̞ː mʲ i t͡ɕ i b a̠ ɕ i ɾʲ i
にひゃくご	ɲ̟ i ç a̠ k ɯ̟ᵝ ɡ o̞
おいちらす	o̞ i t͡ɕ i ɾ a̠ s ɨᵝ
ミツアナグマ	mʲ i t͡s ɨᵝ a̠ n a̠ ɡ ɯ̟ᵝ m a̠
ふんたい	ɸ ɯ̟̃ᵝ n t a̠ i
てきおう	t e̞ kʲ i o̞ː
キト	kʲ i t o̞
もうか	m o̞ː k a̠
めっちゃ	m e̞ t̚ t͡ɕ a̠
はつあん	h a̠ t͡s ɨᵝ ã̠ ɴ
すいじ	s ɨᵝ i ʑ i
はやがてん	h a̠ j a̠ ɡ a̠ t ẽ̞ ɴ
イケボイス	i k e̞ b o̞ i s ɨᵝ
コロニー	k o̞ ɾ o̞ ɲ̟ iː
しょくぶつじょうたい	ɕ o̞ k ɯ̟ᵝ b ɯ̟ᵝ t͡s ɨᵝ d͡ʑ o̞ː t a̠ i
たげんご	t a̠ ɡ ẽ̞ ŋ ɡ o̞
こうじゅつしけん	k o̞ː ʑ ɨᵝ t͡s ɨᵝ ɕ i̥ k ẽ̞ ɴ
おたんじょうびおめでとうございます	o̞ t ã̠ ɲ̟ d͡ʑ o̞ː bʲ i o̞ m e̞ d e̞ t o̞ː ɡ o̞ z a̠ i m a̠ s ɨ̥ᵝ
てあし	t e̞ a̠ ɕ i
いちごんほうおん	i t͡ɕ i ɡ õ̞ ɰ̃ h o̞ː õ̞ ɴ
ヘ	h e̞
おんきょうりょうし	õ̞ ŋʲ kʲ o̞ː ɾʲ o̞ː ɕ i
つかい	t͡s ɨ̥ᵝ k a̠ i
はつがん	h a̠ t͡s ɨᵝ ɡ ã̠ ɴ
ばにゅう	b a̠ ɲ̟ ɯ̟ᵝː
しゃきょう	ɕ a̠ kʲ o̞ː
よそく	j o̞ s o̞ k ɯ̟ᵝ
ふびん	ɸ ɯ̟ᵝ bʲ ĩ ɴ
つべ	t͡s ɨᵝ b e̞
ホテル	h o̞ t e̞ ɾ ɯ̟ᵝ
えひめ	e̞ ç i m e̞
いむ	i m ɯ̟ᵝ
メドレー	m e̞ d o̞ ɾ e̞ː
おあずけ	o̞ a̠ z ɨᵝ k e̞
たかよし	t a̠ k a̠ j o̞ ɕ i
イマーム	i m a̠ː m ɯ̟ᵝ
まんえい	m ã̠ ɰ̃ e̞ː
たくわえる	t a̠ k ɯ̟ᵝ ɰᵝ a̠ e̞ ɾ ɯ̟ᵝ
かかげる	k a̠ k a̠ ɡ e̞ ɾ ɯ̟ᵝ
ストーマ	s ɨᵝ t o̞ː m a̠
なめる	n a̠ m e̞ ɾ ɯ̟ᵝ
さなだ	s a̠ n a̠ d a̠
きしょうてんけつ	kʲ i ɕ o̞ː t ẽ̞ ŋ k e̞ t͡s ɨᵝ
タケノコ	t a̠ k e̞ n o̞ k o̞
せいたいかいぼう	s e̞ː t a̠ i k a̠ i b o̞ː
かつぜつ	k a̠ t͡s ɨᵝ z e̞ t͡s ɨᵝ
おとながい	o̞ t o̞ n a̠ ɡ a̠ i
かんさつ	k ã̠ ɰ̃ s a̠ t͡s ɨᵝ
ちくでんき	t͡ɕ i k ɯ̟̊ᵝ d ẽ̞ ŋʲ kʲ i
こうらいにんじん	k o̞ː ɾ a̠ i ɲ̟ ĩ ɲ̟ d͡ʑ ĩ ɴ
しょどう	ɕ o̞ d o̞ː
ユーカリ	j ɯ̟ᵝː k a̠ ɾʲ i
よる	j o̞ ɾ ɯ̟ᵝ
しんじゅ	ɕ ĩ ɲ̟ d͡ʑ ɨᵝ
すざく	s ɨᵝ z a̠ k ɯ̟ᵝ
ひろい	ç i ɾ o̞ i
とうごう	t o̞ː ɡ o̞ː
じさつてん	d͡ʑ i s a̠ t͡s ɨᵝ t ẽ̞ ɴ
ヷ	b a̠
おうれん	o̞ː ɾ ẽ̞ ɴ
こすい	k o̞ s ɨᵝ i
ひらび	ç i ɾ a̠ bʲ i
あいがんどうぶつ	a̠ i ɡ ã̠ n d o̞ː b ɯ̟ᵝ t͡s ɨᵝ
いうはやすくおこなうはかたし	i ɯ̟ᵝ ɰᵝ a̠ j a̠ s ɨᵝ k ɯ̟ᵝ o̞ k o̞ n a̠ ɯ̟ᵝ ɰᵝ a̠ k a̠ t a̠ ɕ i
はずかしい	h a̠ z ɨᵝ k a̠ ɕ iː
きんがしんねん	kʲ ĩ ŋ ɡ a̠ ɕ ĩ nː ẽ̞ ɴ
ヴォ	b o̞
キーンコーンカーンコーン	kʲ ĩː ŋ k õ̞ː ŋ k ã̠ː ŋ k õ̞ː ɴ
ほんの	h õ̞ n n o̞
みんしゅか	mʲ ĩ ɰ̃ ɕ ɨᵝ k a̠
イッテルビウム	i t̚ t e̞ ɾ ɯ̟ᵝ bʲ i ɯ̟ᵝ m ɯ̟ᵝ
ばいかほう	b a̠ i k a̠ h o̞ː
きもだめし	kʲ i m o̞ d a̠ m e̞ ɕ i
きょうじゅ	kʲ o̞ː ʑ ɨᵝ
ふけしゅう	ɸ ɯ̟ᵝ k e̞ ɕ ɨᵝː
コンビネーション	k õ̞ m bʲ i n e̞ː ɕ õ̞ ɴ
マスター	m a̠ s ɨ̥ᵝ t a̠ː
うちゅうたんさき	ɯ̟ᵝ t͡ɕ ɨᵝː t ã̠ ɰ̃ s a̠ kʲ i
ひょうごう	ç o̞ː ɡ o̞ː
キルト	kʲ i ɾ ɯ̟ᵝ t o̞
でんあつけい	d ẽ̞ ɰ̃ a̠ t͡s ɨ̥ᵝ k e̞ː
しょじゅん	ɕ o̞ ʑ ɨ̃ᵝ ɴ
かつやく	k a̠ t͡s ɨᵝ j a̠ k ɯ̟ᵝ
ヤハウェ	j a̠ h a̠ ɰᵝ e̞
あゆこ	a̠ j ɯ̟ᵝ k o̞
れいきゅうしゃ	ɾ e̞ː kʲ ɨᵝː ɕ a̠
そんぼう	s õ̞ m b o̞ː
からすざ	k a̠ ɾ a̠ s ɨᵝ z a̠
ごくひ	ɡ o̞ k ɯ̟ᵝ ç i
ましん	m a̠ ɕ ĩ ɴ
あまた	a̠ m a̠ t a̠
きょうねん	kʲ o̞ː n ẽ̞ ɴ
ディ	dʲ i
ふようりょう	ɸ ɯ̟ᵝ j o̞ː ɾʲ o̞ː
そうず	s o̞ː z ɨᵝ
サイロ	s a̠ i ɾ o̞
テリア	t e̞ ɾʲ i a̠
プロパン	p ɯ̟ᵝ ɾ o̞ p ã̠ ɴ
のみかい	n o̞ mʲ i k a̠ i
たいきょく	t ä i k j o̞ k ɯ̥ᵝ
どさんこ	d o̞ s ã̠ ŋ k o̞
まえぶれ	m a̠ e̞ b ɯ̟ᵝ ɾ e̞
ささやく	s a̠ s a̠ j a̠ k ɯ̟ᵝ
みゃ	mʲ a̠
てんいむほう	t ẽ̞ ɰ̃ i m ɯ̟ᵝ h o̞ː
はみ	h a̠ mʲ i
ハーブティー	h a̠ː b ɯ̟ᵝ tʲ iː
げ	ɡ e̞
ひな	ç i n a̠
はめたおす	h a̠ m e̞ t a̠ o̞ s ɨᵝ
クオーター	k ɯ̟ᵝ o̞ː t a̠ː
びぶん	bʲ i b ɯ̟̃ᵝ ɴ
しょうらい	ɕ o̞ː ɾ a̠ i
しょた	ɕ o̞ t a̠
ばくしょう	b a̠ k ɯ̟̊ᵝ ɕ o̞ː
さける	s a̠ k e̞ ɾ ɯ̟ᵝ
インデヤン	ĩ n d e̞ j ã̠ ɴ
いわのぼり	i ɰᵝ a̠ n o̞ b o̞ ɾʲ i
おんしつ	õ̞ ɰ̃ ɕ i̥ t͡s ɨᵝ
おんな	õ̞ nː a̠
ブルマ	b ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠
ほんや	h õ̞ ɰ̃ j a̠
びいしき	bʲ iː ɕ i kʲ i
ミント	mʲ ĩ n t o̞
ぼんぷ	b õ̞ m p ɯ̟ᵝ
よつんばい	j o̞ t͡s ɨ̃ᵝ m b a̠ i
もったいない	m o̞ t̚ t a̠ i n a̠ i
ピン	pʲ ĩ ɴ
けんしん	k ẽ̞ ɰ̃ ɕ ĩ ɴ
ややこしい	j a̠ j a̠ k o̞ ɕ iː
ドア	d o̞ a̠
すき	s ɨᵝ kʲ i
おれさま	o̞ ɾ e̞ s a̠ m a̠
しょうどう	ɕ o̞ː d o̞ː
こもりぐま	k o̞ m o̞ ɾʲ i ɡ ɯ̟ᵝ m a̠
シャ	ɕ a̠
サラブレッド	s a̠ ɾ a̠ b ɯ̟ᵝ ɾ e̞ d̚ d̥ o̞
けいさつこっか	k e̞ː s a̠ t͡s ɨᵝ k o̞ k̚ k a̠
かいきゃく	k a̠ i kʲ a̠ k ɯ̟ᵝ
ドラキュラ	d o̞ ɾ a̠ kʲ ɨᵝ ɾ a̠
せきさくどうぶつ	s e̞ kʲ i s a̠ k ɯ̟ᵝ d o̞ː b ɯ̟ᵝ t͡s ɨᵝ
げんちご	ɡ ẽ̞ ɲ̟ t͡ɕ i ɡ o̞
さくてき	s a̠ k ɯ̟ᵝ t e̞ kʲ i
ボディー	b o̞ dʲ iː
てづつ	t e̞ z ɨᵝ t͡s ɨᵝ
たぐる	t a̠ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
じゆう	d͡ʑ i j ɯ̟ᵝː
よにげ	j o̞ ɲ̟ i ɡ e̞
てっき	t e̞ k̚ʲ kʲ i
ダム	d a̠ m ɯ̟ᵝ
さしつかえ	s a̠ ɕ i t͡s ɨᵝ k a̠ e̞
しろうり	ɕ i ɾ o̞ ɯ̟ᵝ ɾʲ i
ちょうしんりがく	t͡ɕ o̞ː ɕ ĩ n ɾʲ i ɡ a̠ k ɯ̟ᵝ
まけいぬ	m a̠ k e̞ː n ɯ̟ᵝ
ぬれてであわ	n ɯ̟ᵝ ɾ e̞ t e̞ d e̞ a̠ ɰᵝ a̠
コンポーネント	k õ̞ m p o̞ː n ẽ̞ n t o̞
しょうか	ɕ o̞ː k a̠
あがく	a̠ ɡ a̠ k ɯ̟ᵝ
うでまえ	ɯ̟ᵝ d e̞ m a̠ e̞
ひっさつわざ	ç i sː a̠ t͡s ɨᵝ ɰᵝ a̠ z a̠
はいがん	h a̠ i ɡ ã̠ ɴ
つき	t͡s ɨᵝ kʲ i
くろう	k ɯ̟ᵝ ɾ o̞ː
パレス	p a̠ ɾ e̞ s ɨᵝ
はぐ	h a̠ ɡ ɯ̟ᵝ
あかはらいもり	a̠ k a̠ h a̠ ɾ a̠ i m o̞ ɾʲ i
インストゥルメンタル	ĩ ɰ̃ s ɨᵝ t ɯ̟ᵝ ɾ ɯ̟ᵝ m ẽ̞ n t a̠ ɾ ɯ̟ᵝ
スウェットシャツ	s ɨᵝ ɰᵝ e̞ t̚ t o̞ ɕ a̠ t͡s ɨᵝ
はつはる	h a̠ t͡s ɨᵝ h a̠ ɾ ɯ̟ᵝ
むこう	m ɯ̟ᵝ k o̞ː
しょじょこうかい	ɕ o̞ ʑ o̞ k o̞ː k a̠ i
せいりょういんりょう	s e̞ː ɾʲ o̞ː ĩ n ɾʲ o̞ː
せんきょう	s ẽ̞ ŋʲ kʲ o̞ː
キューピッド	kʲ ɨᵝː pʲ i d̚ d̥ o̞
ゲーム	ɡ e̞ː m ɯ̟ᵝ
け゚	ŋ e̞
バスト	b a̠ s ɨ̥ᵝ t o̞
リュ	ɾʲ ɨᵝ
いろあざやか	i ɾ o̞ a̠ z a̠ j a̠ k a̠
けらい	k e̞ ɾ a̠ i
たいようじつ	t a̠ i j o̞ː ʑ i t͡s ɨᵝ
タチ	t a̠ t͡ɕ i
アフガニスタン	a̠ ɸ ɯ̟ᵝ ɡ a̠ ɲ̟ i s ɨᵝ t ã̠ ɴ
はじめ	h a̠ ʑ i m e̞
シャープ	ɕ a̠ː p ɯ̟ᵝ
まぼろし	m a̠ b o̞ ɾ o̞ ɕ i
かごう	k a̠ ɡ o̞ː
ばんゆういんりょく	b ã̠ ɰ̃ j ɯ̟ᵝː ĩ n ɾʲ o̞ k ɯ̟ᵝ
たいだん	t a̠ i d ã̠ ɴ
わけへだて	ɰᵝ a̠ k e̞ h e̞ d a̠ t e̞
あるきみこ	a̠ ɾ ɯ̟ᵝ kʲ i mʲ i k o̞
ちしまれっとう	t͡ɕ i ɕ i m a̠ ɾ e̞ t̚ t o̞ː
