らち	ɾ a t͡ɕ i
うつりかわり	ɯ t͡s ɨ ɾʲ i k a ɰ a ɾʲ i
ぜっぱん	d͡z e p̚ p ã ɴ
かがむ	k a ɡ a m ɯ
ほろぶ	h o ɾ o b ɯ
とっぱつ	t o p̚ p a t͡s ɨ
ヘビーメタル	h e bʲ i m e t a ɾ ɯ
だいじょうぶ	d a i ʑ o b ɯ
めだつ	m e d a t͡s ɨ
ちゅうがく	t͡ɕ ɨ ɡ a k ɯ
ねんしゅつ	n ẽ ɰ ɕ ɨ t͡s ɨ
かっしょくもくたん	k a ɕ o k ɯ m o k ɯ t ã ɴ
ねかた	n e k a t a
どうじんざっし	d o ʑ ĩ n d͡z a ɕ i
スケッチブック	s ɨ k e t̚ t͡ɕ i b ɯ k̚ k ɯ
たてぐみ	t a t e ɡ ɯ mʲ i
こもん	k o m õ ɴ
ひるやすみ	ç i ɾ ɯ j a s ɨ mʲ i
スパイ	s ɨ p a i
きざし	kʲ i z a ɕ i
もおんな	m o õ n a
ふろんり	ɸ ɯ ɾ õ n ɾʲ i
コンボ	k õ m b o
シルバー	ɕ i ɾ ɯ b a
せんしょくけんろうど	s ẽ ɰ ɕ o k ɯ k ẽ n ɾ o d o
だいほっさ	d a i h o s a
ひたむき	ç i t a m ɯ kʲ i
ふともも	ɸ ɯ t o m o m o
きんじとう	kʲ ĩ ɲ d͡ʑ i t o
めだまやき	m e d a m a j a kʲ i
かいそうろく	k a i s o ɾ o k ɯ
えつらん	e t͡s ɨ ɾ ã ɴ
かう	k a ɯ
した	ɕ i t a
けいじばん	k e ʑ i b ã ɴ
せいかぶつ	s e k a b ɯ t͡s ɨ
いてん	i t ẽ ɴ
ふえん	ɸ ɯ ẽ ɴ
りこてき	ɾʲ i k o t e kʲ i
きょうあい	kʲ o a i
おみなえし	o mʲ i n a e ɕ i
とどめる	t o d o m e ɾ ɯ
トラブルシューティング	t o ɾ a b ɯ ɾ ɯ ɕ ɨ tʲ ĩ ŋ ɡ ɯ
あしはら	a ɕ i h a ɾ a
トランスジェンダー	t o ɾ ã ɰ s ɨ ʑ ẽ n d a
いじょう	i ʑ o
ひと	ç i t o
さくしゃ	s a k ɯ ɕ a
ルーブル	ɾ ɯ b ɯ ɾ ɯ
よかん	j o k ã ɴ
なんしんせいさく	n ã ɰ ɕ ĩ ɰ s e s a k ɯ
こつそしょうしょう	k o t͡s ɨ s o ɕ o ɕ o
ちじょうは	t͡ɕ i ʑ o h a
ニオブ	ɲ i o b ɯ
へらす	h e ɾ a s ɨ
ざこね	d͡z a k o n e
はくし	h a k ɯ ɕ i
ぎせき	ɡʲ i s e kʲ i
けんぱく	k ẽ m p a k ɯ
みきわめる	mʲ i kʲ i ɰ a m e ɾ ɯ
つがる	t͡s ɨ ɡ a ɾ ɯ
むかし	m ɯ k a ɕ i
サラダドレッシング	s a ɾ a d a d o ɾ e ɕ ĩ ŋ ɡ ɯ
なべ	n a b e
ゆうびん	j ɯ bʲ ĩ ɴ
じろん	d͡ʑ i ɾ õ ɴ
コラーン	k o ɾ ã ɴ
フ	ɸ ɯ
れいちょう	ɾ e t͡ɕ o
ひでりあめ	ç i d e ɾʲ i a m e
あつひろ	a t͡s ɨ ç i ɾ o
ファミマ	ɸ a mʲ i m a
こどもべやおじさん	k o d o m o b e j a o ʑ i s ã ɴ
ぐたい	ɡ ɯ t a i
くれないいろ	k ɯ ɾ e n a i i ɾ o
あこがれる	a k o ɡ a ɾ e ɾ ɯ
じんべいざめ	d͡ʑ ĩ m b e z a m e
ちり	t͡ɕ i ɾʲ i
しょうしゅう	ɕ o ɕ ɨ
にまいめ	ɲ i m a i m e
らいぎょ	ɾ a i ɡʲ o
ぐんびかくちょうきょうそう	ɡ ɯ m bʲ i k a k ɯ t͡ɕ o kʲ o s o
ねむる	n e m ɯ ɾ ɯ
クリエイティブ	k ɯ ɾʲ i e tʲ i b ɯ
えいせいてき	e s e t e kʲ i
せいぎょぼう	s e ɡʲ o b o
ぐれんじごく	ɡ ɯ ɾ ẽ ɲ d͡ʑ i ɡ o k ɯ
パトロールカー	p a t o ɾ o ɾ ɯ k a
くうらん	k ɯ ɾ ã ɴ
ろうまん	ɾ o m ã ɴ
わたす	ɰ a t a s ɨ
やぶからぼうに	j a b ɯ k a ɾ a b o ɲ i
せきとめる	s e kʲ i t o m e ɾ ɯ
ふさぐ	ɸ ɯ s a ɡ ɯ
うえる	ɯ e ɾ ɯ
きしゅつ	kʲ i ɕ ɨ t͡s ɨ
しゅうごうたいきょうふしょう	ɕ ɨ ɡ o t a i kʲ o ɸ ɯ ɕ o
らいらく	ɾ a i ɾ a k ɯ
そうりょうじかん	s o ɾʲ o ʑ i k ã ɴ
しょうめい	ɕ o m e
ざいらい	d͡z a i ɾ a i
さいぼうがく	s a i b o ɡ a k ɯ
だるまざめ	d a ɾ ɯ m a z a m e
しくら	ɕ i k ɯ ɾ a
あつくるしい	a t͡s ɨ k ɯ ɾ ɯ ɕ i
くつう	k ɯ t͡s ɨ
いわくに	i ɰ a k ɯ ɲ i
あまのむらくものつるぎ	a m a n o m ɯ ɾ a k ɯ m o n o t͡s ɨ ɾ ɯ ɡʲ i
まんぽけい	m ã m p o k e
めいしょう	m e ɕ o
ミーアキャット	mʲ i a kʲ a t̚ t o
どんこ	d õ ɴ k o
いっさんかちっそ	i s ã ŋ k a t͡ɕ i s o
すいぞくかん	s ɨ i z o k ɯ k ã ɴ
ホッチキス	h o t̚ t͡ɕ i kʲ i s ɨ
かいろ	k a i ɾ o
かがりびそう	k a ɡ a ɾʲ i bʲ i s o
かぎむし	k a ɡʲ i m ɯ ɕ i
アリーナフットボール	a ɾʲ i n a ɸ ɯ t̚ t o b o ɾ ɯ
どこか	d o k o k a
しゅせい	ɕ ɨ s e
しそん	ɕ i s õ ɴ
こんじゃく	k õ ɲ d͡ʑ a k ɯ
やけい	j a k e
だんちょう	d ã ɲ t͡ɕ o
アドレナリン	a d o ɾ e n a ɾʲ ĩ ɴ
うなる	ɯ n a ɾ ɯ
ほせい	h o s e
ふしょうじ	ɸ ɯ ɕ o ʑ i
ねとる	n e t o ɾ ɯ
よるがた	j o ɾ ɯ ɡ a t a
テルル	t e ɾ ɯ ɾ ɯ
まなこ	m a n a k o
ファン・フィクション	ɸ ã ɰ ɸʲ i k ɯ ɕ õ ɴ
ゆきだま	j ɯ kʲ i d a m a
そんだい	s õ n d a i
どうわ	d o ɰ a
グログラン	ɡ ɯ ɾ o ɡ ɯ ɾ ã ɴ
いっかくじゅうざ	i k̚ k a k ɯ ʑ ɨ z a
へんしょく	h ẽ ɰ ɕ o k ɯ
ごそうしゃ	ɡ o s o ɕ a
ののしる	n o n o ɕ i ɾ ɯ
じゅうすいそ	d͡ʑ ɨ s ɨ i s o
ホモサピエンス	h o m o s a pʲ i ẽ ɰ s ɨ
たいようしゅう	t a i j o ɕ ɨ
こうしゅう	k o ɕ ɨ
いちたか	i t͡ɕ i t a k a
かなまじりぶん	k a n a m a ʑ i ɾʲ i b ɯ ɴ
おこがましい	o k o ɡ a m a ɕ i
しゃこ	ɕ a k o
みかける	mʲ i k a k e ɾ ɯ
ゆうりき	j ɯ ɾʲ i kʲ i
はしっこ	h a ɕ i k̚ k o
とやまけん	t o j a m a k ẽ ɴ
おんなぶげいしゃ	õ n a b ɯ ɡ e ɕ a
かざす	k a z a s ɨ
メーラ	m e ɾ a
ジェー	d͡ʑ e
ぜんい	d͡z ẽ ɰ i
きりすてる	kʲ i ɾʲ i s ɨ t e ɾ ɯ
はるか	j o
サンダル	s ã n d a ɾ ɯ
とうしゃ	t o ɕ a
むげんだい	m ɯ ɡ ẽ n d a i
いそうきかがく	i s o kʲ i k a ɡ a k ɯ
レオタード	ɾ e o t a d o
リニメント	ɾʲ i ɲ i m ẽ n t o
ニューイングランド	ɲ ɯ ĩ ŋ ɡ ɯ ɾ ã n d o
サンドバッグ	s ã n d o b a ɡ̚ ɡ ɯ
ノウハウ	n o h a ɯ
せっぷん	s e p̚ p ɯ ɴ
ほぐす	h o ɡ ɯ s ɨ
ほうけい	h o k e
やりかた	j a ɾʲ i k a t a
だしん	d a ɕ ĩ ɴ
かがみもち	k a ɡ a mʲ i m o t͡ɕ i
わたがし	ɰ a t a ɡ a ɕ i
わり	k a t͡s ɨ
ほうい	h o i
しょうぞく	ɕ o z o k ɯ
えふで	e ɸ ɯ d e
ちゃばしら	t͡ɕ a b a ɕ i ɾ a
がくだん	ɡ a k ɯ d ã ɴ
かくさん	k a k ɯ s ã ɴ
ばいしん	b a i ɕ i n
ねつぼうそう	n e t͡s ɨ b o s o
あらあらしい	a ɾ a a ɾ a ɕ i i
ゾロ	d͡z o ɾ o
さそり	s a s o ɾʲ i
しつじゅん	ɕ i t͡s ɨ ʑ ɨ ɴ
ちんせいか	t͡ɕ ĩ ɰ s e k a
モアレ	m o a ɾ e
かんおう	k ã ɰ o
でんきじどうしゃ	d ẽ ŋʲ kʲ i d͡ʑ i d o ɕ a
きょうちょくせいせきついえん	kʲ o t͡ɕ o k ɯ s e s e kʲ i t͡s ɨ i ẽ ɴ
れいり	ɾ e ɾʲ i
かたすみ	k a t a s ɨ mʲ i
ジハード	d͡ʑ i h a d o
オマージュ	o m a ʑ ɨ
はくじん	h a k ɯ ʑ ĩ ɴ
おおしま	o ɕ i m a
スパルタ	s ɨ p a ɾ ɯ t a
ステムグラファー	s ɨ t e m ɯ ɡ ɯ ɾ a ɸ a
あさ	a s a
すあし	s ɨ a ɕ i
フルボイス	ɸ ɯ ɾ ɯ b o i s ɨ
ごようろん	ɡ o j o ɾ õ ɴ
こどう	k o d o
げっそう	ɡ e s o
したみち	ɕ i t a mʲ i t͡ɕ i
ちなむ	t͡ɕ i n a m ɯ
そこねる	s o k o n e ɾ ɯ
ルネサンス	ɾ ɯ n e s ã ɰ s ɨ
けいはく	k e h a k ɯ
ユニホーム	j ɯ ɲ i h o m ɯ
さらのき	ɕ a ɾ a n o kʲ i
コミンテルン	k o mʲ ĩ n t e ɾ ɯ ɴ
おでん	o d ẽ ɴ
はたき	h a t a kʲ i
ぴかぴか	pʲ i k a pʲ i k a
アンチノミー	ã ɲ t͡ɕ i n o mʲ i
ふんいき	ɸ ɯ ɰ i kʲ i
カワラナデシコ	k a ɰ a ɾ a n a d e ɕ i k o
テュ	tʲ ɨ
しゅうし	ɕ ɨ ɕ i
にほんじか	ɲ i h õ ɲ d͡ʑ i k a
ふうちょう	ɸ ɯ t͡ɕ o
もとづく	m o t o z ɨ k ɯ
ちからづよい	t͡ɕ i k a ɾ a z ɨ j o i
すいふ	s ɨ i ɸ ɯ
かわいがる	k a ɰ a i ɡ a ɾ ɯ
よう	j o ɯ
しんきろう	ɕ ĩ ŋʲ kʲ i ɾ o
ロービジョン	ɾ o bʲ i ʑ õ ɴ
こっか	k o k̚ k a
どれい	d o ɾ e
みどりのまどぐち	mʲ i d o ɾʲ i n o m a d o ɡ ɯ t͡ɕ i
ヒャ	ç a
ヒドロキシルアミン	ç i d o ɾ o kʲ i ɕ i ɾ ɯ a mʲ ĩ ɴ
りきしゃ	ɾʲ i kʲ i ɕ a
りゅうは	ɾʲ ɨ h a
わが	ɰ a ɡ a
カンバス	k ã m b a s ɨ
まっさお	m a s a o
かんたんふ	k ã n t ã ɰ ɸ ɯ
つきじ	t͡s ɨ kʲ i ʑ i
はじ	h a ʑ i
ほたる	h o t a ɾ ɯ
もやす	m o j a s ɨ
たぬきばやし	t a n ɯ kʲ i b a j a ɕ i
くつかくし	k ɯ t͡s ɨ k a k ɯ ɕ i
ゆでん	j ɯ d ẽ ɴ
エレキギター	e ɾ e kʲ i ɡʲ i t a
あやめる	a j a m e ɾ ɯ
プライバシー	p ɯ ɾ a i b a ɕ i
ぞうしょう	d͡z o ɕ o
そくはつ	s o k ɯ h a t͡s ɨ
オアシス	o a ɕ i s ɨ
くさり	k ɯ s a ɾʲ i
てんちょう	t ẽ ɲ t͡ɕ o
うまれかわる	ɯ m a ɾ e k a ɰ a ɾ ɯ
ショベル	ɕ o b e ɾ ɯ
かんのう	k ã n o
アシ	a ɕ i
はくろ	h a k ɯ ɾ o
ひかげん	ç i k a ɡ ẽ ɴ
じんどうてき	d͡ʑ ĩ n d o t e kʲ i
いたしゃ	i t a ɕ a
こんりゅう	k õ n ɾʲ ɨ
いしょ	i ɕ o
かと	k a t o
じきゅうりょく	ɲ ĩ n t a i ɾʲ o k ɯ
たすけになる	t a s ɨ k e ɲ i n a ɾ ɯ
ばくち	b a k ɯ t͡ɕ i
はんがく	h ã ŋ ɡ a k ɯ
イヤホン	i j a h õ ɴ
がいせつ	ɡ a i s e t͡s ɨ
じゅなん	d͡ʑ ɨ n ã ɴ
わかる	ɰ a k a ɾ ɯ
かこん	k a k õ ɴ
めいし	m e ɕ i
ナフサ	n a ɸ ɯ s a
ぼうちゅう	b o t͡ɕ ɨ
こんいろ	k õ ɰ i ɾ o
ばかん	b a k ã ɴ
おもり	o m o ɾʲ i
じんりきしゃ	d͡ʑ ĩ n ɾʲ i kʲ i ɕ a
アクシスジカ	a k ɯ ɕ i s ɨ ʑ i k a
あいさい	a i s a i
ぬるい	n ɯ ɾ ɯ i
ほしい	h o ɕ i
はっきり	h a k̚ʲ kʲ i ɾʲ i
ハウス	h a ɯ s ɨ
ユーモア	j ɯ m o a
こうちょうどうぶつ	k o t͡ɕ o d o b ɯ t͡s ɨ
まっただなか	m a t̚ t a d a n a k a
さいだいこうやくすう	s a i d a i k o j a k ɯ s ɨ
レッツラゴー	ɾ e t̚ t͡s ɨ ɾ a ɡ o
ベガ	b e ɡ a
ほおづえ	h o z ɨ e
もれる	m o ɾ e ɾ ɯ
ジョーク	d͡ʑ o k ɯ
こんばんは	k õ m b ã ɰ ɰ a
れいめい	ɾ e m e
さがく	s a ɡ a k ɯ
しゅのうかいだん	ɕ ɨ n o k a i d ã ɴ
あかべこ	a k a b e k o
かいきゅう	k a i kʲ ɨ
ラブ	ɾ a b ɯ
とりつくろう	t o ɾʲ i t͡s ɨ k ɯ ɾ o
りょくはつ	ɾʲ o k ɯ h a t͡s ɨ
おんち	õ ɲ t͡ɕ i
よいやみ	j o i j a mʲ i
りっきょう	ɾʲ i k̚ʲ kʲ o
としごろ	t o ɕ i ɡ o ɾ o
だつぼう	d a t͡s ɨ b o
ソワカ	s o ɰ a k a
ちゃくそう	t͡ɕ a k ɯ s o
なさけ	n a s a k e
せいばい	s e b a i
ほうじん	h o ʑ ĩ ɴ
もちあわせる	m o t͡ɕ i a ɰ a s e ɾ ɯ
うつりかわる	ɯ t͡s ɨ ɾʲ i k a ɰ a ɾ ɯ
はんばいいん	h ã m b a i ĩ ɴ
まっぱだか	m a p̚ p a d a k a
もやし	m o j a ɕ i
じじつむこん	d͡ʑ i ʑ i t͡s ɨ m ɯ k õ ɴ
ほこう	h o k o
マフラー	m a ɸ ɯ ɾ a
れつ	ɾ e t͡s ɨ
たいきょくけん	t a i kʲ o k ɯ k ẽ ɴ
けいじじょう	k e ʑ i ʑ o
よくあつ	j o k ɯ a t͡s ɨ
ゆうかん	j ɯ k ã ɴ
はくや	h a k ɯ j a
はなび	h a n a bʲ i
かくちょうし	k a k ɯ t͡ɕ o ɕ i
とうさく	t o s a k ɯ
さいたん	s a i t ã ɴ
ニーソックス	ɲ i s o k̚ k ɯ s ɨ
しんでん	ɕ ĩ n d ẽ ɴ
でばな	d e b a n a
はんばい	h ã m b a i
とう	t o
なのに	n a n o ɲ i
フック	ɸ ɯ k̚ k ɯ
ほうだん	h o d ã ɴ
あまやかす	a m a j a k a s ɨ
こんご	k õ ŋ ɡ o
どんてん	d õ n t ẽ ɴ
にえる	ɲ i e ɾ ɯ
こうずけのくに	k o z ɨ k e n o k ɯ ɲ i
ろぼ	ɾ o b o
りゅうだんほう	ɾʲ ɨ d ã ɰ h o
じゅうど	d͡ʑ ɨ d o
うん	ɯ ɴ
にじゅうしちにち	ɲ i ʑ ɨ ɕ i t͡ɕ i ɲ i t͡ɕ i
けんぱくしょ	k ẽ m p a k ɯ ɕ o
アナフィラキシー	a n a ɸʲ i ɾ a kʲ i ɕ i
なやむ	n a j a m ɯ
めしつれる	m e ɕ i t͡s ɨ ɾ e ɾ ɯ
つながる	t͡s ɨ n a ɡ a ɾ ɯ
サンボードロモ	s ã m b o d o ɾ o m o
ぎゃふん	ɡʲ a ɸ ɯ ɴ
すもう	s ɨ m o
ワールドミュージック	ɰ a ɾ ɯ d o mʲ ɨ ʑ i k̚ k ɯ
ぜつぼうてき	d͡z e t͡s ɨ b o t e kʲ i
とえい	t o e
おりがみ	o ɾʲ i ɡ a mʲ i
ちょうしんき	t͡ɕ o ɕ ĩ ŋʲ kʲ i
さぞかし	s a z o k a ɕ i
なんぷう	n ã m p ɯ
わりあて	ɰ a ɾʲ i a t e
ふちゅうい	ɸ ɯ t͡ɕ ɨ i
せっちゃく	s e t̚ t͡ɕ a k ɯ
コンシューマー	k õ ɰ ɕ ɨ m a
めぐまれる	m e ɡ ɯ m a ɾ e ɾ ɯ
とおめがね	t o m e ɡ a n e
いっしんふらん	i ɕ ĩ ɰ ɸ ɯ ɾ ã ɴ
むすい	m ɯ s ɨ i
よろんちょうさ	j o ɾ õ ɲ t͡ɕ o s a
アンペア	ã m p e a
ふうちょうざ	ɸ ɯ t͡ɕ o z a
こうこう	k o k o
おいたつ	o i t a t͡s ɨ
あすはわがみ	a s ɨ ɰ a ɰ a ɡ a mʲ i
ファラオ	ɸ a ɾ a o
やぶく	j a b ɯ k ɯ
ラケット	ɾ a k e t̚ t o
ばにゅうしゅ	b a ɲ ɯ ɕ ɨ
スキーム	s ɨ kʲ i m ɯ
ずれる	d͡z ɨ ɾ e ɾ ɯ
ちゃき	t͡ɕ a kʲ i
ゆうとう	j ɯ t o
アクリジン	a k ɯ ɾʲ i ʑ ĩ ɴ
ぎんぱつ	ɡʲ ĩ m p a t͡s ɨ
さくら	s a k ɯ ɾ a
バチスト	b a t͡ɕ i s ɨ t o
カリグラ	k a ɾʲ i ɡ ɯ ɾ a
ピペリジン	pʲ i p e ɾʲ i ʑ ĩ ɴ
ウィーン	ɰ ĩ ɴ
こうい	k o i
くわしい	k ɯ ɰ a ɕ i i
ぎょくろ	ɡʲ o k ɯ ɾ o
レッド	ɾ e d̚ d o
ののてん	n o n o t ẽ ɴ
ネル	n e ɾ ɯ
たしんきょう	t a ɕ ĩ ŋʲ kʲ o
はんしんろん	h ã ɰ ɕ ĩ n ɾ õ ɴ
せめる	s e m e ɾ ɯ
もくたん	m o k ɯ t ã ɴ
シエラレオネ	ɕ i e ɾ a ɾ e o n e
しゅうしふをうつ	ɕ ɨ ɕ i ɸ ɯ o ɯ t͡s ɨ
きょうだいぶん	kʲ o d a i b ɯ ɴ
ずうずうしい	d͡z ɨ z ɨ ɕ i i
よいっぱり	j o i p̚ p a ɾʲ i
うきすどり	ɯ kʲ i s ɨ d o ɾʲ i
ちえおくれ	t͡ɕ i e o k ɯ ɾ e
げんちょう	ɡ ẽ ɲ t͡ɕ o
マジパン	m a ʑ i p ã ɴ
つうこく	t͡s ɨ k o k ɯ
よ	j o
ぶっし	b ɯ ɕ i
ホンコン	h õ ŋ k õ ɴ
よりみち	j o ɾʲ i mʲ i t͡ɕ i
いぶかしむ	i b ɯ k a ɕ i m ɯ
たてだ	t a t e d a
スケート	s ɨ k e t o
ブラジルナッツ	b ɯ ɾ a ʑ i ɾ ɯ n a t̚ t͡s ɨ
オブラート	o b ɯ ɾ a t o
そうですね	s o d e s ɨ  n e
じぇ	d͡ʑ e
もんだい	m õ n d a i
キャプテン	kʲ a p ɯ t ẽ  ɴ
にんい	ɲ ĩ ɰ i
もうとう	m o t o
サドンデス	s a d õ n d e s ɨ
ほうけんてき	h o k ẽ n t e kʲ i
せいしんいがく	s e ɕ ĩ ɰ i ɡ a k ɯ
れいたいさい	ɾ e t a i s a i
かんじ	k ã ɲ d͡ʑ i
ビットコイン	bʲ i t̚ t o k o ĩ ɴ
れいしょ	ɾ e ɕ o
さんじゅうし	s ã ɲ d͡ʑ ɨ ɕ i
たいしょうがい	t a i ɕ o ɡ a i
やまいも	j a m a i m o
のぶろ	n o b ɯ ɾ o
もう	m o
おきあみ	o kʲ i a mʲ i
しせいどう	ɕ i s e d o
うね	ɯ n e
おおじか	o ʑ i k a
サンパン	s ã m p ã ɴ
テレポート	t e ɾ e p o t o
シーズー	ɕ i z ɨ
まさき	m a s a kʲ i
きゅうり	kʲ ɨ ɾʲ i
むすび	m ɯ s ɨ bʲ i
とうけん	t o k ẽ ɴ
よっぱらう	j o p̚ p a ɾ a ɯ
たいおう	t a i o
ヒトヒト	ç i t o ç i t o
デディケーション	d e dʲ i k e ɕ õ ɴ
じんしゅさべつしゅぎしゃ	d͡ʑ ĩ ɰ ɕ ɨ s a b e t͡s ɨ ɕ ɨ ɡʲ i ɕ a
おしゃれ	o ɕ a ɾ e
いってよし	i t̚ t e j o ɕ i
げんそうきょく	ɡ ẽ ɰ s o kʲ o k ɯ
とりのぞく	t o ɾʲ i n o z o k ɯ
ぞくへん	d͡z o k ɯ h ẽ ɴ
いぬのとおぼえ	i n ɯ n o t o b o e
さいきどうし	s a i kʲ i d o ɕ i
おきな	o kʲ i n a
いわくら	i ɰ a k ɯ ɾ a
こうぼ	k o b o
かまう	k a m a ɯ
こきょう	k o kʲ o
ばんぐみ	b ã ŋ ɡ ɯ mʲ i
べんぴ	b ẽ m pʲ i
たいりついでんし	t a i ɾʲ i t͡s ɨ i d ẽ ɰ ɕ i
はいりょ	h a i ɾʲ o
じちたい	d͡ʑ i t͡ɕ i t a i
いしき	i ɕ i kʲ i
トンデモ	t õ n d e m o
ぶんこうき	b ɯ ŋ k o kʲ i
させつ	s a s e t͡s ɨ
ルポライター	ɾ ɯ p o ɾ a i t a
けっこんのびょうどう	k e k̚ k õ n n o bʲ o d o
ベーシスト	b e ɕ i s ɨ t o
げいじゅつせい	ɡ e ʑ ɨ t͡s ɨ s e
けいほうき	k e h o kʲ i
どうせい	d o s e
ゔぇ	b e
えんをえがく	ẽ ɰ o e ɡ a k ɯ
じだいげき	d͡ʑ i d a i ɡ e kʲ i
つかえる	t͡s ɨ k a e ɾ ɯ
ベビードール	b e bʲ i d o ɾ ɯ
ピント	pʲ ĩ n t o
ごうにいってはごうにしたがえ	ɡ o ɲ i i t̚ t e ɰ a ɡ o ɲ i ɕ i t a ɡ a e
ふしちょう	ɸ ɯ ɕ i t͡ɕ o
はねる	h a n e ɾ ɯ
しゃどう	ɕ a d o
とうしょ	t o ɕ o
トロピリウム	t o ɾ o pʲ i ɾʲ i ɯ m ɯ
サタン	s a t ã ɴ
つまらない	t͡s ɨ m a ɾ a n a i
まんぷく	m ã m p ɯ k ɯ
ばいおん	b a i õ ɴ
ふかよみ	ɸ ɯ k a j o mʲ i
かたむける	k a t a m ɯ k e ɾ ɯ
コンピューターウイルス	k õ m pʲ ɨ t a ɯ i ɾ ɯ s ɨ
いばら	i b a ɾ a
ジェイケー	d͡ʑ e k e
しょうぶ	ɕ o b ɯ
ジャップ	d͡ʑ a p̚ p ɯ
ちゅうしゃ	t͡ɕ ɨ ɕ a
せいどう	s e d o
ほほえむ	h o h o e m ɯ
しぜんかがく	ɕ i z ẽ ŋ k a ɡ a k ɯ
きこえる	kʲ i k o e ɾ ɯ
じけいだんいん	d͡ʑ i k e d ã ɰ ĩ ɴ
おこる	o k o ɾ ɯ
すら	s ɨ ɾ a
のじこ	n o ʑ i k o
ほうこくしゃ	h o k o k ɯ ɕ a
だつじ	d a t͡s ɨ ʑ i
じかだんぱん	d͡ʑ i k a d ã m p ã ɴ
ヒント	ç ĩ n t o
じゅうえん	d͡ʑ ɨ ẽ ɴ
にがす	ɲ i ɡ a s ɨ
ばかやろう	b a k a j a ɾ o
ずかん	d͡z ɨ k ã ɴ
しらべる	ɕ i ɾ a b e ɾ ɯ
クシー	k ɯ ɕ i
こしらえる	k o ɕ i ɾ a e ɾ ɯ
けんじろう	k ẽ ɲ d͡ʑ i ɾ o
ねらう	n e ɾ a ɯ
きご	kʲ i ɡ o
かます	k a m a s ɨ
こりる	k o ɾʲ i ɾ ɯ
いよいよ	i j o i j o
ジャムセッション	d͡ʑ a m ɯ s e ɕ õ ɴ
ゴリラ	ɡ o ɾʲ i ɾ a
ごすんくぎ	ɡ o s ɨ ŋ k ɯ ɡʲ i
きれる	kʲ i ɾ e ɾ ɯ
バリアフリー	b a ɾʲ i a ɸ ɯ ɾʲ i
マンボ	m ã m b o
たるみず	t a ɾ ɯ mʲ i z ɨ
とうだん	t o d ã ɴ
ごきょくかん	ɡ o kʲ o k ɯ k ã ɴ
ずるい	d͡z ɨ ɾ ɯ i
メス	m e s ɨ
いたんしんもん	i t ã ɰ ɕ ĩ m õ ɴ
ふるまい	ɸ ɯ ɾ ɯ m a i
みして	mʲ i ɕ i t e
ぬかばえ	n ɯ k a b a e
おぼれる	o b o ɾ e ɾ ɯ
せきがえ	s e kʲ i ɡ a e
ほうどう	h o d o
はらぐろい	h a ɾ a ɡ ɯ ɾ o i
トーゴ	t o ɡ o
ほりょ	h o ɾʲ o
とらになる	t o ɾ a ɲ i n a ɾ ɯ
こうへいむし	k o h e m ɯ ɕ i
からい	k a ɾ a i
マックス	m a k̚ k ɯ s ɨ
どちざめ	d o t͡ɕ i z a m e
アニメ	a ɲ i m e
しょうこうき	ɕ o k o kʲ i
はちすずめ	h a t͡ɕ i s ɨ z ɨ m e
ギャラリー	ɡʲ a ɾ a ɾʲ i
こうめいせいだい	k o m e s e d a i
めしかえる	m e ɕ i k a e ɾ ɯ
かさなる	k a s a n a ɾ ɯ
しぇ	ɕ e
にくへん	ɲ i k ɯ h ẽ ɴ
ごずめず	ɡ o z ɨ m e z ɨ
パイロン	p a i ɾ õ ɴ
ちんば	t͡ɕ ĩ m b a
たかお	t a k a o
リトライ	ɾʲ i t o ɾ a i
ピザ	pʲ i z a
かきこむ	k a kʲ i k o m ɯ
ふっきゅう	ɸ ɯ k̚ʲ kʲ ɨ
カラチ	k a ɾ a t͡ɕ i
きゃくあつかい	kʲ a k ɯ a t͡s ɨ k a i
せつだんしゃ	s e t͡s ɨ d ã ɴ
もうどく	m o d o k ɯ
サウダージ	s a ɯ d a ʑ i
まちや	m a t͡ɕ i j a
りゅうしゃ	ɾʲ ɨ ɕ a
おっす	o s ɯ
みぶん	mʲ i b ɯ ɴ
いきようよう	i kʲ i j o j o
こくみんそうせいさん	k o k ɯ mʲ ĩ ɰ s o s e s ã ɴ
しい	ɕ i
いしょくしゅ	i ɕ o k ɯ ɕ ɨ
おめにかかる	o m e ɲ i k a k a ɾ ɯ
つねじ	t͡s ɨ n e ʑ i
えいごろう	e ɡ o ɾ o
こうごう	k o ɡ o
せっかく	s e k̚ k a k ɯ
メロン	m e ɾ õ ɴ
マカロン	m a k a ɾ õ ɴ
かんびょう	k ã m bʲ o
むだづかい	m ɯ d a z ɨ k a i
やまみち	j a m a mʲ i t͡ɕ i
ちきゅうおんだんか	t͡ɕ i kʲ ɨ õ n d ã ŋ k a
せってい	s e t̚ t e
ゆうち	j ɯ t͡ɕ i
するどい	s ɨ ɾ ɯ d o i
バスドラム	b a s ɨ d o ɾ a m ɯ
せんしゅむら	s ẽ ɰ ɕ ɨ m ɯ ɾ a
かんてい	k ã n t e
となえる	t o n a e ɾ ɯ
ばけん	b a k ẽ ɴ
りょうが	ɾʲ o ɡ a
ひきだす	ç i kʲ i d a s ɨ
ホームセンター	h o m ɯ s ẽ n t a
けり	k e ɾʲ i
りそく	ɾʲ i s o k ɯ
うまみ	ɯ m a mʲ i
しめんたい	ɕ i m ẽ n t a i
きりさめ	kʲ i ɾʲ i s a m e
フロン	ɸ ɯ ɾ õ ɴ
